date,title,description,link,icon,_note
2024-12-06,新曲「Happiness Valentine」配信開始,Spotify、Apple Musicで配信中！,#music,🎵,
2024-10-20,LINEスタンプ第2弾リリース,ストアで販売中です,#stamps,🎨,
2024-09-17,千夕雅デビュー！,新アーティスト参加,#about,✨,
